emp_id,level,job_family,location,base_salary,range_min,range_mid,range_max,exception_flag
E-101,L5,Engineering,US,210000,180000,210000,240000,no
E-102,L4,Engineering,US,165000,150000,175000,200000,no
E-103,L6,Engineering,US,265000,220000,260000,300000,no
E-104,L3,Engineering,India,38000,35000,45000,55000,no
E-105,L5,Product,US,230000,185000,215000,245000,no
E-106,L4,Product,UK,120000,110000,130000,150000,no
E-107,L5,Sales,US,200000,170000,200000,230000,no
E-108,L6,Sales,US,318000,240000,280000,320000,no
E-109,L4,GA,US,130000,120000,140000,160000,no
E-110,L5,Engineering,US,250000,180000,210000,240000,yes
E-111,L3,Sales,US,70000,80000,95000,110000,no
E-112,L4,Engineering,Germany,110000,100000,120000,140000,no
E-113,L6,Product,US,290000,240000,275000,310000,no
E-114,L5,GA,US,175000,160000,185000,210000,no
